steps	date	interval
NA	2012-10-01	0
NA	2012-10-01	5
NA	2012-10-01	10
NA	2012-10-01	15
NA	2012-10-01	20
NA	2012-10-01	25
NA	2012-10-01	30
NA	2012-10-01	35
NA	2012-10-01	40
NA	2012-10-01	45
NA	2012-10-01	50
NA	2012-10-01	55
NA	2012-10-01	100
NA	2012-10-01	105
NA	2012-10-01	110
NA	2012-10-01	115
NA	2012-10-01	120
NA	2012-10-01	125
NA	2012-10-01	130
NA	2012-10-01	135
NA	2012-10-01	140
NA	2012-10-01	145
NA	2012-10-01	150
NA	2012-10-01	155
NA	2012-10-01	200
NA	2012-10-01	205
NA	2012-10-01	210
NA	2012-10-01	215
NA	2012-10-01	220
NA	2012-10-01	225
NA	2012-10-01	230
NA	2012-10-01	235
NA	2012-10-01	240
NA	2012-10-01	245
NA	2012-10-01	250
NA	2012-10-01	255
NA	2012-10-01	300
NA	2012-10-01	305
NA	2012-10-01	310
NA	2012-10-01	315
NA	2012-10-01	320
NA	2012-10-01	325
NA	2012-10-01	330
NA	2012-10-01	335
NA	2012-10-01	340
NA	2012-10-01	345
NA	2012-10-01	350
NA	2012-10-01	355
NA	2012-10-01	400
NA	2012-10-01	405
NA	2012-10-01	410
NA	2012-10-01	415
NA	2012-10-01	420
NA	2012-10-01	425
NA	2012-10-01	430
NA	2012-10-01	435
NA	2012-10-01	440
NA	2012-10-01	445
NA	2012-10-01	450
NA	2012-10-01	455
NA	2012-10-01	500
NA	2012-10-01	505
NA	2012-10-01	510
NA	2012-10-01	515
NA	2012-10-01	520
NA	2012-10-01	525
NA	2012-10-01	530
NA	2012-10-01	535
NA	2012-10-01	540
NA	2012-10-01	545
NA	2012-10-01	550
NA	2012-10-01	555
NA	2012-10-01	600
NA	2012-10-01	605
NA	2012-10-01	610
NA	2012-10-01	615
NA	2012-10-01	620
NA	2012-10-01	625
NA	2012-10-01	630
NA	2012-10-01	635
NA	2012-10-01	640
NA	2012-10-01	645
NA	2012-10-01	650
NA	2012-10-01	655
NA	2012-10-01	700
NA	2012-10-01	705
NA	2012-10-01	710
NA	2012-10-01	715
NA	2012-10-01	720
NA	2012-10-01	725
NA	2012-10-01	730
NA	2012-10-01	735
NA	2012-10-01	740
NA	2012-10-01	745
NA	2012-10-01	750
NA	2012-10-01	755
NA	2012-10-01	800
NA	2012-10-01	805
NA	2012-10-01	810
NA	2012-10-01	815
NA	2012-10-01	820
NA	2012-10-01	825
NA	2012-10-01	830
NA	2012-10-01	835
NA	2012-10-01	840
NA	2012-10-01	845
NA	2012-10-01	850
NA	2012-10-01	855
NA	2012-10-01	900
NA	2012-10-01	905
NA	2012-10-01	910
NA	2012-10-01	915
NA	2012-10-01	920
NA	2012-10-01	925
NA	2012-10-01	930
NA	2012-10-01	935
NA	2012-10-01	940
NA	2012-10-01	945
NA	2012-10-01	950
NA	2012-10-01	955
NA	2012-10-01	1000
NA	2012-10-01	1005
NA	2012-10-01	1010
NA	2012-10-01	1015
NA	2012-10-01	1020
NA	2012-10-01	1025
NA	2012-10-01	1030
NA	2012-10-01	1035
NA	2012-10-01	1040
NA	2012-10-01
